* made with GMT mapproject command:  -Ju11/1:1e6 -R-120/-114/0/90 -C -F
* Fri Jul 11 10:17:56 CDT 2014
*        xUTM(m)       yUTM(m)      name
> flt.1
         326732.7240         4408747.4061           
         326964.5355         4409080.1677           
         327173.9136         4409394.2349           
         327394.5083         4409648.4797           
> flt.37
         326075.8255         4407008.1514           
         326240.7039         4407170.1372           
         326437.2884         4407347.2463           
         326587.8163         4407569.3164           
         326660.1313         4407711.0539           
         326781.6206         4408026.3477           
         326810.5467         4408101.5553           
         326862.6135         4408199.9038           
         326952.2842         4408304.0375           
         327062.2031         4408425.5268           
         327207.5636         4408567.9392           
         327413.2028         4408784.7951           
         327570.2364         4408941.8286           
         327719.7922         4409072.6900           
         327962.8203         4409323.1959           
         328220.8041         4409532.5740           
         328437.6600         4409790.5577           
         328602.1713         4409981.2414           
         328777.8994         4410213.0528           
> flt.38
         328814.3422         4408638.7929           
         328768.0468         4408559.7376           
         328711.4190         4408505.8064           
         328664.1477         4408455.1094           
         328600.8612         4408381.1733           
         328567.1530         4408327.8334           
         328537.4908         4408272.5539           
         328495.6941         4408236.1503           
         328440.4147         4408153.9053           
         328375.6972         4408070.3119           
         328305.5866         4407997.5048           
         328252.3323         4407947.1004           
         328213.6280         4407911.9215           
> flt.39
         328066.3192         4406605.3531           
         328124.6684         4406664.0603           
> flt.40
         327648.7279         4405984.6024           
         327588.3016         4405887.4462           
         327542.4600         4405811.9425           
         327492.5737         4405736.4388           
         327450.7770         4405671.7214           
         327382.0147         4405554.4210           
         327360.4422         4405513.9726           
> flt.41
         329359.0429         4406568.6873           
         329409.3787         4406660.3703           
         329438.1420         4406723.2901           
         329459.7145         4406768.2327           
         329477.6916         4406814.9731           
         329507.5569         4406857.2564           
         329538.8136         4406901.2631           
         329571.1723         4406983.9576           
         329592.7448         4407034.2934           
         329626.9012         4407082.8315           
         329680.8325         4407152.9420           
         329723.9774         4407201.4801           
         329808.4696         4407302.1517           
         329838.3759         4407352.6214           
         329865.9963         4407395.6325           
         329878.3430         4407443.1603           
         329874.3564         4407491.4071           
         329880.3779         4407559.2238           
         329907.3435         4407641.9183           
         329936.1068         4407730.0060           
         329946.8931         4407774.9486           
         329955.8816         4407814.4982           
         329988.2403         4407870.2271           
         330009.8128         4407922.3606           
         330123.0684         4408094.5809           
         330187.7858         4408195.2525           
         330267.0319         4408318.3467           
         330363.9611         4408494.7505           
         330423.2854         4408606.2083           
         330479.0143         4408714.0707           
         330498.7891         4408755.4180           
> flt.42
         331161.5874         4404617.7379           
         331186.5643         4404679.6436           
> flt.43
         331567.9408         4405259.0155           
         331573.1836         4405247.1883           
> flt.44
         326075.8255         4407008.1514           
         325938.2826         4406848.8665           
         325752.7983         4406612.7956           
         325628.0180         4406380.0972           
         325553.8243         4406083.3224           
> flt.45
         327700.8521         4406205.0818           
         327698.2477         4406187.8889           
> flt.46
         327697.0470         4406180.0579           
         327690.4443         4406160.1560           
> flt.47
         327676.2145         4406104.6979           
         327676.3965         4406105.0689           
         327676.3786         4406107.3644           
         327676.9524         4406107.3688           
         327676.9346         4406109.6643           
         327676.9123         4406112.5335           
         327677.4817         4406113.1119           
         327677.4683         4406114.8334           
